10014910,상권,관광특구,1001491,2019,1,이태원 관광특구,이태원제1동,11170650,Blue,Yellow,Blue,Orange,Blue
10014920,상권,관광특구,1001492,2019,1,명동 남대문 북창동 다동 무교동 관광특구,소공동,11140520,Blue,Blue,Green,Orange,Yellow
10014930,상권,관광특구,1001493,2019,1,동대문패션타운 관광특구,광희동,11140590,Blue,Blue,Green,Yellow,Red
10014940,상권,관광특구,1001494,2019,1,종로·청계 관광특구,종로1·2·3·4가동,11110615,Yellow,Green,Green,Yellow,Orange
10014950,상권,관광특구,1001495,2019,1,잠실 관광특구,오륜동,11710566,Orange,Red,Red,Red,Green
10014960,상권,관광특구,1001496,2019,1,강남 마이스 관광특구,삼성1동,11680580,Blue,Green,Blue,Red,Orange
21100010,상권,골목상권,2110001,2019,1,이북5도청사,평창동,11110560,Blue,Yellow,Orange,Red,Blue
21100020,상권,골목상권,2110002,2019,1,독립문역 1번,무악동,11110570,Orange,Orange,Yellow,Green,Yellow
21100030,상권,골목상권,2110003,2019,1,세검정초등학교,부암동,11110550,Green,Yellow,Orange,Orange,Green
21100040,상권,골목상권,2110004,2019,1,대신고등학교,무악동,11110570,Red,Yellow,Green,Blue,Orange
21100050,상권,골목상권,2110005,2019,1,세검정,부암동,11110550,Red,Red,Orange,Red,Green
21100060,상권,골목상권,2110006,2019,1,부암동주민센터,부암동,11110550,Blue,Orange,Yellow,Red,Blue
21100070,상권,골목상권,2110007,2019,1,사직공원(한국사회과학도서관),사직동,11110530,Green,Red,Orange,Orange,Blue
21100080,상권,골목상권,2110008,2019,1,배화여자대학교(박노수미술관),청운효자동,11110515,Yellow,Yellow,Red,Yellow,Green
21100090,상권,골목상권,2110009,2019,1,자하문터널,부암동,11110550,Yellow,Orange,Red,Red,Green
21100100,상권,골목상권,2110010,2019,1,평창동서측,평창동,11110560,Orange,Red,Orange,Red,Green
21100110,상권,골목상권,2110011,2019,1,청운초등학교,청운효자동,11110515,Orange,Orange,Orange,Red,Green
21100120,상권,골목상권,2110012,2019,1,성곡미술관,사직동,11110530,Orange,Orange,Red,Orange,Green
21100130,상권,골목상권,2110013,2019,1,체부동홍종문가옥,사직동,11110530,Green,Yellow,Green,Green,Yellow
21100140,상권,골목상권,2110014,2019,1,경복고등학교,청운효자동,11110515,Orange,Yellow,Yellow,Red,Yellow
21100150,상권,골목상권,2110015,2019,1,청와대사랑채,청운효자동,11110515,Red,Yellow,Yellow,Red,Yellow
21100160,상권,골목상권,2110016,2019,1,평창동동측,평창동,11110560,Orange,Red,Red,Red,Green
21100170,상권,골목상권,2110017,2019,1,정독도서관,가회동,11110600,Yellow,Orange,Orange,Orange,Green
21100180,상권,골목상권,2110018,2019,1,중앙고등학교,가회동,11110600,Red,Red,Orange,Orange,Green
21100190,상권,골목상권,2110019,2019,1,창덕궁,종로1·2·3·4가동,11110615,Yellow,Green,Orange,Orange,Orange
21100200,상권,골목상권,2110020,2019,1,서울국제고등학교,혜화동,11110650,Green,Orange,Yellow,Green,Blue
21100210,상권,골목상권,2110021,2019,1,성균관대학교,혜화동,11110650,Red,Orange,Orange,Yellow,Green
21100220,상권,골목상권,2110022,2019,1,경신고등학교,혜화동,11110650,Orange,Orange,Yellow,Yellow,Yellow
21100230,상권,골목상권,2110023,2019,1,서울대병원,이화동,11110640,Yellow,Blue,Yellow,Green,Orange
21100240,상권,골목상권,2110024,2019,1,혜회동주민센터,혜화동,11110650,Green,Yellow,Green,Yellow,Green
21100250,상권,골목상권,2110025,2019,1,충신시장옆,종로5·6가동,11110630,Green,Blue,Green,Yellow,Orange
